name,rating,price,address,type
Milano Market,4,$$,2892 Broadway,Deli
Buster’s,4.5,$$,892 Amsterdam Ave,American (New)
Maoz Vegetarian,4,$,2857 Broadway,Vegetarian
Roti Roll Bombay Frankie,4,$,994 Amsterdam Ave,Indian
Dig Inn Seasonal Market,3.5,$$,2884 Broadway,American (Traditional)
Tum & Yum,4,$$,917 Columbus Ave,Thai
Le Monde,3,$$,2885 Broadway,French
Mel’s Burger Bar,3,$$,2850 Broadway,Burgers
Miss Mamie’s Spoonbread Too,3,$$,366 W 110th St,Southern
Destiny Sandwich & Juice Bar,4,$,2166 Fredrick Douglass Blvd,Sandwiches
SEASONED VEGAN,4.5,$$,55 Saint Nicholas Ave,Vegetarian
Tom’s Restaurant,2.5,$$,2880 Broadway,Diners