Name,longitude,latitude,geo_accuracy,Address,City,Category,Rating,URL,Full Address
Freda's Caribbean & Soul Cuisine,-73.96128581,40.8008846,house,993 Columbus Ave,New York,Caribbean,4,http://www.yelp.com/biz/fredas-caribbean-and-soul-cuisine-new-york,"993 Columbus Ave New York, New York"
Sura Thai Kitchen,-73.9820904,40.7731717,primary,2656 Broadway,New York,Thai,4,http://www.yelp.com/biz/sura-thai-kitchen-new-york,"2656 Broadway New York, New York"
Buster's,-73.9670572,40.7989601,restaurant,892 Amsterdam Ave,New York,American (New),4.5,http://www.yelp.com/biz/busters-new-york,"892 Amsterdam Ave New York, New York"
Tum & Yum,-73.9632661,40.7983805,restaurant,917 Columbus Ave,New York,Thai,4,http://www.yelp.com/biz/tum-and-yum-new-york-2,"917 Columbus Ave New York, New York"
Maoz Vegetarian,-73.9820904,40.7731717,primary,2857 Broadway,New York,Vegetarian,4,http://www.yelp.com/biz/maoz-vegetarian-new-york-6,"2857 Broadway New York, New York"
Milano Market,-73.9820904,40.7731717,primary,2892 Broadway,New York,Grocery,4,http://www.yelp.com/biz/milano-market-new-york,"2892 Broadway New York, New York"
Roti Roll Bombay Frankie,-73.9643689,40.8026,house,994 Amsterdam Ave,New York,Indian,4,http://www.yelp.com/biz/roti-roll-bombay-frankie-new-york,"994 Amsterdam Ave New York, New York"
Curry Club,-73.96635459,40.80231914,house,254 W 108th St,New York,Indian,4.5,http://www.yelp.com/biz/curry-club-new-york,"254 W 108th St New York, New York"
Doaba Deli,-73.96240994,40.79940135,house,945 Columbus Ave,New York,Indian,4.5,http://www.yelp.com/biz/doaba-deli-new-york,"945 Columbus Ave New York, New York"
Jin Ramen,-73.9820904,40.7731717,primary,3183 Broadway,New York,Ramen,4,http://www.yelp.com/biz/jin-ramen-new-york,"3183 Broadway New York, New York"
Sushi Sushi,-73.9594573,40.8152608,house,54 Tiemann Pl,New York,Sushi Bars,4,http://www.yelp.com/biz/sushi-sushi-new-york,"54 Tiemann Pl New York, New York"
SEASONED VEGAN,-73.9527099,40.8005894,house,55 Saint Nicholas Ave,New York,Vegetarian,4.5,http://www.yelp.com/biz/seasoned-vegan-new-york-2,"55 Saint Nicholas Ave New York, New York"
Dig Inn Seasonal Market,-73.9820904,40.7731717,primary,2884 Broadway,Manhattan,American (Traditional),3.5,http://www.yelp.com/biz/dig-inn-seasonal-market-manhattan-8,"2884 Broadway Manhattan, New York"
Miss Mamie's Spoonbread Too,-73.9608772,40.8014393,restaurant,366 W 110th St,New York,Southern,3,http://www.yelp.com/biz/miss-mamies-spoonbread-too-new-york,"366 W 110th St New York, New York"
Chapati House,-73.9820904,40.7731717,primary,3153 Broadway,New York,Indian,4,http://www.yelp.com/biz/chapati-house-new-york,"3153 Broadway New York, New York"
Patisserie Des Ambassades,-73.95405388,40.8060505,house,2200 8th Ave,New York,Bakeries,3,http://www.yelp.com/biz/patisserie-des-ambassades-new-york,"2200 8th Ave New York, New York"
MAKANA,-73.9653098,40.8004395,house,161 W 106th St,New York,Hawaiian,3.5,http://www.yelp.com/biz/makana-new-york-2,"161 W 106th St New York, New York"
Max Caffe,-73.95824975,40.81082938,house,1262 Amsterdam Ave,New York,Italian,3.5,http://www.yelp.com/biz/max-caffe-new-york,"1262 Amsterdam Ave New York, New York"
Le Monde,-73.9820904,40.7731717,primary,2885 Broadway,New York,French,3,http://www.yelp.com/biz/le-monde-new-york-3,"2885 Broadway New York, New York"
Taqueria y Fonda La Mexicana,-73.9650657,40.8016351,house,968 Amsterdam Ave,New York,Mexican,4,http://www.yelp.com/biz/taqueria-y-fonda-la-mexicana-new-york-2,"968 Amsterdam Ave New York, New York"