Name,% frequency,Approximate Number,Rank
MARY,2.629,3991060,1
PATRICIA,1.073,1628911,2
LINDA,1.035,1571224,3
BARBARA,0.98,1487729,4
ELIZABETH,0.937,1422451,5
JENNIFER,0.932,1414861,6
MARIA,0.828,1256979,7
SUSAN,0.794,1205364,8
MARGARET,0.768,1165894,9
DOROTHY,0.727,1103652,10
LISA,0.704,1068736,11
NANCY,0.669,1015603,12
KAREN,0.667,1012567,13
BETTY,0.666,1011048,14
HELEN,0.663,1006494,15
SANDRA,0.629,954879,16
DONNA,0.583,885047,17
CAROL,0.565,857721,18
RUTH,0.562,853167,19
SHARON,0.522,792443,20
MICHELLE,0.519,787889,21
LAURA,0.51,774226,22
SARAH,0.508,771190,23
KIMBERLY,0.504,765118,24
DEBORAH,0.494,749937,25
JESSICA,0.49,743864,26
SHIRLEY,0.482,731720,27
CYNTHIA,0.469,711985,28
ANGELA,0.468,710466,29
MELISSA,0.462,701358,30
BRENDA,0.455,690731,31
AMY,0.451,684659,32
ANNA,0.44,667960,33
REBECCA,0.43,652779,34
VIRGINIA,0.43,652779,35
KATHLEEN,0.424,643670,36
PAMELA,0.416,631526,37
MARTHA,0.412,625453,38
DEBRA,0.408,619381,39
AMANDA,0.404,613309,40
STEPHANIE,0.4,607236,41
CAROLYN,0.385,584465,42
CHRISTINE,0.382,579911,43
MARIE,0.379,575356,44
JANET,0.379,575356,45
CATHERINE,0.373,566248,46
FRANCES,0.37,561694,47
ANN,0.364,552585,48
JOYCE,0.364,552585,49
DIANE,0.359,544995,50
ALICE,0.357,541958,51
JULIE,0.348,528296,52
HEATHER,0.337,511597,53
TERESA,0.336,510078,54
DORIS,0.335,508560,55
GLORIA,0.335,508560,56
EVELYN,0.322,488825,57
JEAN,0.315,478199,58
CHERYL,0.315,478199,59
MILDRED,0.313,475162,60
KATHERINE,0.313,475162,61
JOAN,0.306,464536,62
ASHLEY,0.303,459981,63
JUDITH,0.297,450873,64
ROSE,0.296,449355,65
JANICE,0.285,432656,66
KELLY,0.283,429620,67
NICOLE,0.281,426583,68
JUDY,0.276,418993,69
CHRISTINA,0.275,417475,70
KATHY,0.272,412921,71
THERESA,0.271,411403,72
BEVERLY,0.267,405330,73
DENISE,0.264,400776,74
TAMMY,0.259,393185,75
IRENE,0.252,382559,76
JANE,0.25,379523,77
LORI,0.248,376486,78
RACHEL,0.242,367378,79
MARILYN,0.241,365860,80
ANDREA,0.236,358269,81
KATHRYN,0.234,355233,82
LOUISE,0.229,347643,83
SARA,0.229,347643,84
ANNE,0.228,346125,85
JACQUELINE,0.228,346125,86
WANDA,0.226,343089,87
BONNIE,0.223,338534,88
JULIA,0.223,338534,89
RUBY,0.221,335498,90
LOIS,0.22,333980,91
TINA,0.22,333980,92
PHYLLIS,0.219,332462,93
NORMA,0.218,330944,94
PAULA,0.217,329426,95
DIANA,0.216,327908,96
ANNIE,0.216,327908,97
LILLIAN,0.211,320317,98
EMILY,0.208,315763,99
ROBIN,0.208,315763,100
PEGGY,0.208,315763,101
CRYSTAL,0.207,314245,102
GLADYS,0.205,311209,103
RITA,0.204,309691,104
DAWN,0.202,306654,105
CONNIE,0.2,303618,106
FLORENCE,0.2,303618,107
TRACY,0.197,299064,108
EDNA,0.197,299064,109
TIFFANY,0.195,296028,110
CARMEN,0.195,296028,111
ROSA,0.194,294510,112
CINDY,0.192,291473,113
GRACE,0.189,286919,114
WENDY,0.185,280847,115
VICTORIA,0.18,273256,116
EDITH,0.179,271738,117
KIM,0.178,270220,118
SHERRY,0.178,270220,119
SYLVIA,0.177,268702,120
JOSEPHINE,0.177,268702,121
THELMA,0.175,265666,122
SHANNON,0.175,265666,123
SHEILA,0.175,265666,124
ETHEL,0.174,264148,125
ELLEN,0.173,262630,126
ELAINE,0.173,262630,127
MARJORIE,0.173,262630,128
CARRIE,0.171,259594,129
CHARLOTTE,0.169,256557,130
MONICA,0.166,252003,131
ESTHER,0.166,252003,132
PAULINE,0.165,250485,133
EMMA,0.165,250485,134
JUANITA,0.164,248967,135
ANITA,0.162,245931,136
RHONDA,0.162,245931,137
HAZEL,0.161,244413,138
AMBER,0.16,242895,139
EVA,0.159,241376,140
DEBBIE,0.157,238340,141
APRIL,0.154,233786,142
LESLIE,0.154,233786,143
CLARA,0.153,232268,144
LUCILLE,0.153,232268,145
JAMIE,0.153,232268,146
JOANNE,0.15,227714,147
ELEANOR,0.15,227714,148
VALERIE,0.149,226196,149
DANIELLE,0.149,226196,150
MEGAN,0.147,223159,151
ALICIA,0.146,221641,152
SUZANNE,0.145,220123,153
MICHELE,0.145,220123,154
GAIL,0.145,220123,155
BERTHA,0.143,217087,156
DARLENE,0.142,215569,157
VERONICA,0.142,215569,158
JILL,0.142,215569,159
ERIN,0.141,214051,160
GERALDINE,0.141,214051,161
LAUREN,0.137,207978,162
CATHY,0.137,207978,163
JOANN,0.136,206460,164
LORRAINE,0.135,204942,165
LYNN,0.135,204942,166
SALLY,0.135,204942,167
REGINA,0.133,201906,168
ERICA,0.13,197352,169
BEATRICE,0.13,197352,170
DOLORES,0.129,195834,171
BERNICE,0.128,194316,172
AUDREY,0.127,192798,173
YVONNE,0.126,191279,174
ANNETTE,0.125,189761,175
JUNE,0.125,189761,176
SAMANTHA,0.124,188243,177
MARION,0.122,185207,178
DANA,0.122,185207,179
STACY,0.121,183689,180
ANA,0.12,182171,181
RENEE,0.12,182171,182
IDA,0.118,179135,183
VIVIAN,0.118,179135,184
ROBERTA,0.117,177617,185
HOLLY,0.117,177617,186
BRITTANY,0.117,177617,187
MELANIE,0.116,176099,188
LORETTA,0.115,174580,189
YOLANDA,0.115,174580,190
JEANETTE,0.115,174580,191
LAURIE,0.114,173062,192
KATIE,0.113,171544,193
KRISTEN,0.111,168508,194
VANESSA,0.111,168508,195
ALMA,0.111,168508,196
SUE,0.111,168508,197
ELSIE,0.11,166990,198
BETH,0.11,166990,199
JEANNE,0.109,165472,200
VICKI,0.109,165472,201
CARLA,0.107,162436,202
TARA,0.107,162436,203
ROSEMARY,0.107,162436,204
EILEEN,0.105,159400,205
TERRI,0.105,159400,206
GERTRUDE,0.103,156363,207
LUCY,0.103,156363,208
TONYA,0.102,154845,209
ELLA,0.101,153327,210
STACEY,0.101,153327,211
WILMA,0.099,150291,212
GINA,0.099,150291,213
KRISTIN,0.099,150291,214
JESSIE,0.098,148773,215
NATALIE,0.098,148773,216
AGNES,0.098,148773,217
VERA,0.098,148773,218
WILLIE,0.097,147255,219
CHARLENE,0.097,147255,220
BESSIE,0.096,145737,221
DELORES,0.095,144219,222
MELINDA,0.094,142701,223
PEARL,0.094,142701,224
ARLENE,0.094,142701,225
MAUREEN,0.092,139664,226
COLLEEN,0.092,139664,227
ALLISON,0.092,139664,228
TAMARA,0.092,139664,229
JOY,0.091,138146,230
GEORGIA,0.091,138146,231
CONSTANCE,0.091,138146,232
LILLIE,0.09,136628,233
CLAUDIA,0.09,136628,234
JACKIE,0.09,136628,235
MARCIA,0.09,136628,236
TANYA,0.089,135110,237
NELLIE,0.089,135110,238
MINNIE,0.089,135110,239
MARLENE,0.088,133592,240
HEIDI,0.088,133592,241
GLENDA,0.088,133592,242
LYDIA,0.086,130556,243
VIOLA,0.086,130556,244
COURTNEY,0.086,130556,245
MARIAN,0.086,130556,246
STELLA,0.085,129038,247
CAROLINE,0.085,129038,248
DORA,0.084,127520,249
JO,0.083,126002,250
VICKIE,0.082,124483,251
MATTIE,0.081,122965,252
TERRY,0.08,121447,253
MAXINE,0.079,119929,254
IRMA,0.079,119929,255
MABEL,0.078,118411,256
MARSHA,0.078,118411,257
MYRTLE,0.078,118411,258
LENA,0.077,116893,259
CHRISTY,0.077,116893,260
DEANNA,0.076,115375,261
PATSY,0.076,115375,262
HILDA,0.075,113857,263
GWENDOLYN,0.074,112339,264
JENNIE,0.073,110821,265
NORA,0.073,110821,266
MARGIE,0.072,109303,267
NINA,0.072,109303,268
CASSANDRA,0.072,109303,269
LEAH,0.072,109303,270
PENNY,0.071,107784,271
KAY,0.071,107784,272
PRISCILLA,0.071,107784,273
NAOMI,0.071,107784,274
CAROLE,0.071,107784,275
BRANDY,0.07,106266,276
OLGA,0.07,106266,277
BILLIE,0.069,104748,278
DIANNE,0.069,104748,279
TRACEY,0.069,104748,280
LEONA,0.069,104748,281
JENNY,0.068,103230,282
FELICIA,0.068,103230,283
SONIA,0.068,103230,284
MIRIAM,0.066,100194,285
VELMA,0.066,100194,286
BECKY,0.066,100194,287
BOBBIE,0.065,98676,288
VIOLET,0.065,98676,289
KRISTINA,0.065,98676,290
TONI,0.064,97158,291
MISTY,0.063,95640,292
MAE,0.063,95640,293
SHELLY,0.062,94122,294
DAISY,0.062,94122,295
RAMONA,0.062,94122,296
SHERRI,0.062,94122,297
ERIKA,0.061,92604,298
KATRINA,0.061,92604,299
CLAIRE,0.061,92604,300
LINDSEY,0.06,91085,301
LINDSAY,0.06,91085,302
GENEVA,0.059,89567,303
GUADALUPE,0.059,89567,304
BELINDA,0.059,89567,305
MARGARITA,0.059,89567,306
SHERYL,0.059,89567,307
CORA,0.058,88049,308
FAYE,0.058,88049,309
ADA,0.057,86531,310
NATASHA,0.057,86531,311
SABRINA,0.057,86531,312
ISABEL,0.057,86531,313
MARGUERITE,0.056,85013,314
HATTIE,0.056,85013,315
HARRIET,0.056,85013,316
MOLLY,0.055,83495,317
CECILIA,0.055,83495,318
KRISTI,0.055,83495,319
BRANDI,0.055,83495,320
BLANCHE,0.055,83495,321
SANDY,0.055,83495,322
ROSIE,0.055,83495,323
JOANNA,0.055,83495,324
IRIS,0.055,83495,325
EUNICE,0.054,81977,326
ANGIE,0.054,81977,327
INEZ,0.053,80459,328
LYNDA,0.053,80459,329
MADELINE,0.052,78941,330
AMELIA,0.052,78941,331
ALBERTA,0.052,78941,332
GENEVIEVE,0.051,77423,333
MONIQUE,0.051,77423,334
JODI,0.051,77423,335
JANIE,0.051,77423,336
MAGGIE,0.051,77423,337
KAYLA,0.051,77423,338
SONYA,0.051,77423,339
JAN,0.051,77423,340
LEE,0.051,77423,341
KRISTINE,0.051,77423,342
CANDACE,0.051,77423,343
FANNIE,0.05,75905,344
MARYANN,0.05,75905,345
OPAL,0.05,75905,346
ALISON,0.05,75905,347
YVETTE,0.05,75905,348
MELODY,0.05,75905,349
LUZ,0.049,74386,350
SUSIE,0.049,74386,351
OLIVIA,0.049,74386,352
FLORA,0.049,74386,353
SHELLEY,0.049,74386,354
KRISTY,0.048,72868,355
MAMIE,0.048,72868,356
LULA,0.048,72868,357
LOLA,0.048,72868,358
VERNA,0.048,72868,359
BEULAH,0.048,72868,360
ANTOINETTE,0.048,72868,361
CANDICE,0.046,69832,362
JUANA,0.046,69832,363
JEANNETTE,0.046,69832,364
PAM,0.046,69832,365
KELLI,0.046,69832,366
HANNAH,0.045,68314,367
WHITNEY,0.045,68314,368
BRIDGET,0.045,68314,369
KARLA,0.044,66796,370
CELIA,0.044,66796,371
LATOYA,0.043,65278,372
PATTY,0.043,65278,373
SHELIA,0.043,65278,374
GAYLE,0.043,65278,375
DELLA,0.043,65278,376
VICKY,0.043,65278,377
LYNNE,0.043,65278,378
SHERI,0.042,63760,379
MARIANNE,0.042,63760,380
KARA,0.041,62242,381
JACQUELYN,0.041,62242,382
ERMA,0.041,62242,383
BLANCA,0.041,62242,384
MYRA,0.04,60724,385
LETICIA,0.04,60724,386
PAT,0.04,60724,387
KRISTA,0.04,60724,388
ROXANNE,0.04,60724,389
ANGELICA,0.039,59206,390
JOHNNIE,0.039,59206,391
ROBYN,0.039,59206,392
FRANCIS,0.039,59206,393
ADRIENNE,0.039,59206,394
ROSALIE,0.039,59206,395
ALEXANDRA,0.039,59206,396
BROOKE,0.039,59206,397
BETHANY,0.039,59206,398
SADIE,0.039,59206,399
BERNADETTE,0.039,59206,400
TRACI,0.038,57687,401
JODY,0.038,57687,402
KENDRA,0.038,57687,403
JASMINE,0.038,57687,404
NICHOLE,0.038,57687,405
RACHAEL,0.038,57687,406
CHELSEA,0.038,57687,407
MABLE,0.038,57687,408
ERNESTINE,0.038,57687,409
MURIEL,0.038,57687,410
MARCELLA,0.037,56169,411
ELENA,0.037,56169,412
KRYSTAL,0.037,56169,413
ANGELINA,0.037,56169,414
NADINE,0.036,54651,415
KARI,0.036,54651,416
ESTELLE,0.036,54651,417
DIANNA,0.036,54651,418
PAULETTE,0.036,54651,419
LORA,0.036,54651,420
MONA,0.035,53133,421
DOREEN,0.035,53133,422
ROSEMARIE,0.035,53133,423
ANGEL,0.035,53133,424
DESIREE,0.035,53133,425
ANTONIA,0.035,53133,426
HOPE,0.034,51615,427
GINGER,0.034,51615,428
JANIS,0.034,51615,429
BETSY,0.034,51615,430
CHRISTIE,0.034,51615,431
FREDA,0.034,51615,432
MERCEDES,0.033,50097,433
MEREDITH,0.033,50097,434
LYNETTE,0.033,50097,435
TERI,0.033,50097,436
CRISTINA,0.033,50097,437
EULA,0.033,50097,438
LEIGH,0.032,48579,439
MEGHAN,0.032,48579,440
SOPHIA,0.032,48579,441
ELOISE,0.032,48579,442
ROCHELLE,0.032,48579,443
GRETCHEN,0.032,48579,444
CECELIA,0.032,48579,445
RAQUEL,0.031,47061,446
HENRIETTA,0.031,47061,447
ALYSSA,0.031,47061,448
JANA,0.031,47061,449
KELLEY,0.031,47061,450
GWEN,0.031,47061,451
KERRY,0.031,47061,452
JENNA,0.03,45543,453
TRICIA,0.03,45543,454
LAVERNE,0.03,45543,455
OLIVE,0.03,45543,456
ALEXIS,0.03,45543,457
TASHA,0.03,45543,458
SILVIA,0.029,44025,459
ELVIRA,0.029,44025,460
CASEY,0.029,44025,461
DELIA,0.029,44025,462
SOPHIE,0.029,44025,463
KATE,0.029,44025,464
PATTI,0.029,44025,465
LORENA,0.029,44025,466
KELLIE,0.029,44025,467
SONJA,0.029,44025,468
LILA,0.029,44025,469
LANA,0.029,44025,470
DARLA,0.029,44025,471
MAY,0.029,44025,472
MINDY,0.029,44025,473
ESSIE,0.029,44025,474
MANDY,0.029,44025,475
LORENE,0.028,42507,476
ELSA,0.028,42507,477
JOSEFINA,0.028,42507,478
JEANNIE,0.028,42507,479
MIRANDA,0.028,42507,480
DIXIE,0.028,42507,481
LUCIA,0.028,42507,482
MARTA,0.028,42507,483
FAITH,0.028,42507,484
LELA,0.028,42507,485
JOHANNA,0.028,42507,486
SHARI,0.028,42507,487
CAMILLE,0.028,42507,488
TAMI,0.027,40988,489
SHAWNA,0.027,40988,490
ELISA,0.027,40988,491
EBONY,0.027,40988,492
MELBA,0.027,40988,493
ORA,0.027,40988,494
NETTIE,0.027,40988,495
TABITHA,0.027,40988,496
OLLIE,0.027,40988,497
JAIME,0.027,40988,498
WINIFRED,0.027,40988,499
KRISTIE,0.027,40988,500
MARINA,0.027,40988,501
